25,1963,4425
25,1964,4524
25,1965,4925
25,1966,5319
25,1967,5652
25,1968,6267
25,1969,6801
25,1970,7253
25,1971,7923
25,1972,9183
25,1973,10557
25,1974,11281
25,1975,12292
25,1976,14552
25,1977,15957
25,1978,17758
25,1979,20011
25,1980,21353
25,1981,24023
25,1982,24614
25,1983,25967
25,1984,28744
25,1985,30138
25,1986,30996
25,1987,33531
25,1988,35534
25,1989,37208
25,1990,38757
25,1991,40862
25,1992,44012
25,1993,47340
25,1994,51602
25,1995,54984
25,1996,57460
25,1997,59875
37,1963,6151
37,1964,6544
37,1965,6966
37,1966,7468
37,1967,8087
37,1968,8836
37,1969,9622
37,1970,10369
37,1971,11278
37,1972,12738
37,1973,14483
37,1974,16204
37,1975,18163
37,1976,20822
37,1977,24022
37,1978,27105
37,1979,31546
37,1980,37608
37,1981,45430
37,1982,49317
37,1983,47701
37,1984,51291
37,1985,52765
37,1986,48997
37,1987,49055
37,1988,52667
37,1989,55007
37,1990,57805
37,1991,59632
37,1992,62209
37,1993,65552
37,1994,68251
37,1995,70859
37,1996,76316
37,1997,81106
8,1963,1885
8,1964,2068
8,1965,2313
8,1966,2482
8,1967,2605
8,1968,2884
8,1969,3069
8,1970,3166
8,1971,3623
8,1972,3984
8,1973,4516
8,1974,4737
8,1975,5025
8,1976,5470
8,1977,6056
8,1978,6747
8,1979,7304
8,1980,7898
8,1981,8839
8,1982,9498
8,1983,10611
8,1984,11925
8,1985,13092
8,1986,14138
8,1987,15568
8,1988,16887
8,1989,18900
8,1990,19928
8,1991,21746
8,1992,22907
8,1993,23509
8,1994,25638
8,1995,27721
8,1996,29156
8,1997,31450
24,1963,10745
24,1964,11353
24,1965,12480
24,1966,13747
24,1967,14616
24,1968,16149
24,1969,17681
24,1970,18699
24,1971,20035
24,1972,21925
24,1973,26001
24,1974,27689
24,1975,29683
24,1976,32840
24,1977,36830
24,1978,41641
24,1979,46861
24,1980,50219
24,1981,55404
24,1982,57472
24,1983,61950
24,1984,71369
24,1985,75832
24,1986,79450
24,1987,85365
24,1988,91896
24,1989,98313
24,1990,102757
24,1991,106102
24,1992,114518
24,1993,117947
24,1994,128167
24,1995,135124
24,1996,145880
24,1997,156650
14,1963,39514
